,0
id,False
member_id,False
loan_amnt,False
funded_amnt,False
funded_amnt_inv,False
term,False
int_rate,False
installment,False
grade,False
sub_grade,False
emp_title,False
emp_length,False
home_ownership,False
annual_inc,False
verification_status,False
issue_d,False
loan_status,False
pymnt_plan,False
url,False
desc,False
purpose,False
title,False
zip_code,False
addr_state,False
dti,False
delinq_2yrs,False
earliest_cr_line,False
inq_last_6mths,False
mths_since_last_delinq,False
mths_since_last_record,False
open_acc,False
pub_rec,False
revol_bal,False
revol_util,False
total_acc,False
initial_list_status,False
out_prncp,False
out_prncp_inv,False
total_pymnt,False
total_pymnt_inv,False
total_rec_prncp,False
total_rec_int,False
total_rec_late_fee,False
recoveries,False
collection_recovery_fee,False
last_pymnt_d,False
last_pymnt_amnt,False
next_pymnt_d,False
last_credit_pull_d,False
collections_12_mths_ex_med,False
mths_since_last_major_derog,True
policy_code,False
application_type,False
annual_inc_joint,True
dti_joint,True
verification_status_joint,True
acc_now_delinq,False
tot_coll_amt,True
tot_cur_bal,True
open_acc_6m,True
open_il_6m,True
open_il_12m,True
open_il_24m,True
mths_since_rcnt_il,True
total_bal_il,True
il_util,True
open_rv_12m,True
open_rv_24m,True
max_bal_bc,True
all_util,True
total_rev_hi_lim,True
inq_fi,True
total_cu_tl,True
inq_last_12m,True
acc_open_past_24mths,True
avg_cur_bal,True
bc_open_to_buy,True
bc_util,True
chargeoff_within_12_mths,False
delinq_amnt,False
mo_sin_old_il_acct,True
mo_sin_old_rev_tl_op,True
mo_sin_rcnt_rev_tl_op,True
mo_sin_rcnt_tl,True
mort_acc,True
mths_since_recent_bc,True
mths_since_recent_bc_dlq,True
mths_since_recent_inq,True
mths_since_recent_revol_delinq,True
num_accts_ever_120_pd,True
num_actv_bc_tl,True
num_actv_rev_tl,True
num_bc_sats,True
num_bc_tl,True
num_il_tl,True
num_op_rev_tl,True
num_rev_accts,True
num_rev_tl_bal_gt_0,True
num_sats,True
num_tl_120dpd_2m,True
num_tl_30dpd,True
num_tl_90g_dpd_24m,True
num_tl_op_past_12m,True
pct_tl_nvr_dlq,True
percent_bc_gt_75,True
pub_rec_bankruptcies,False
tax_liens,False
tot_hi_cred_lim,True
total_bal_ex_mort,True
total_bc_limit,True
total_il_high_credit_limit,True
